
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             Flattened device tree, size: 34936272 bytes, version: 17
122156        0x1DD2C         ATAGs msm parition table (msmptbl), version: 3, number of paritions: 24
253228        0x3DD2C         ATAGs msm parition table (msmptbl), version: 3, number of paritions: 24
384532        0x5DE14         ATAGs msm parition table (msmptbl), version: 4, number of paritions: 16
515604        0x7DE14         ATAGs msm parition table (msmptbl), version: 4, number of paritions: 16
1168032       0x11D2A0        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1170080       0x11DAA0        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1172128       0x11E2A0        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1174176       0x11EAA0        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1178272       0x11FAA0        Qualcomm SBL1, image addr: 2a000000, image size: 55672, code size: 55672, sig size: 0, cert chain size: 0, oem_root_cert_sel: 1, oem_num_root_certs: 1
1235848       0x12DB88        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1237896       0x12E388        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1239944       0x12EB88        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1241992       0x12F388        Qualcomm SBL1, image addr: ffffffff, image size: 4294967295, code size: 4294967295, sig size: 4294967295, cert chain size: 4294967295, oem_root_cert_sel: 4294967295, oem_num_root_certs: 4294967295
1246088       0x130388        ELF, 32-bit LSB executable, ARM, version 1 (SYSV)
1306675       0x13F033        ESP Image segment count: 2, flash mode: QUOUT, flash speed: 40MHz, flash size: 1MB, entry address: 0xb200421, hash: none
1334752       0x145DE0        Unix path: /dev/icbcfg/boot
1366920       0x14DB88        Qualcomm SBL1, image addr: a8dbc66, image size: 52, code size: 255, sig size: 52, cert chain size: 177060974, oem_root_cert_sel: 52, oem_num_root_certs: 255
1387636       0x152C74        ELF, 32-bit LSB executable, ARM, version 1 (SYSV)
1407068       0x15785C        Ubiquiti partition header, header size: 56 bytes, name: "PARTNUM_SHFT", base address: 0x08A16B46, data size: -1912995176 bytes
